n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,pe_correlation,size_label,correlation_label
100,0.500000,0.400000,4.000000,3,200,57,1639,2733,GRASP-PR heuristic,44,44.000000,1,0,0.010053,44,30.000000,1,16,4532.000000,2893.000000,0.854063,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,4,196,59,1601,2654,GRASP-PR heuristic,38,37.000000,0,537730,15.054809,38,30.000000,1,15,4405.000000,2804.000000,0.902721,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,5,200,55,1582,2717,GRASP-PR heuristic,42,42.000000,1,0,0.010244,42,30.000000,1,16,4459.000000,2877.000000,0.849062,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,6,200,59,1515,2505,GRASP-PR heuristic,36,36.000000,1,0,0.009158,36,30.000000,1,15,4170.000000,2655.000000,0.835000,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,7,200,60,1648,2548,GRASP-PR heuristic,43,42.000000,0,504946,15.006041,43,30.000000,1,14,4336.000000,2688.000000,0.910000,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,8,196,58,1657,2540,GRASP-PR heuristic,40,40.000000,1,0,0.009567,40,30.000000,1,15,4347.000000,2690.000000,0.863946,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,9,200,60,1475,2435,GRASP-PR heuristic,42,42.000000,1,0,0.009223,42,30.000000,1,14,4050.000000,2575.000000,0.869643,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,10,196,62,1499,2612,GRASP-PR heuristic,38,38.000000,1,0,0.009852,38,30.000000,1,16,4271.000000,2772.000000,0.832908,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,11,200,49,1637,2454,GRASP-PR heuristic,43,43.000000,1,0,0.009078,43,30.000000,1,14,4231.000000,2594.000000,0.876429,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,12,196,59,1555,2613,GRASP-PR heuristic,43,43.000000,1,0,0.009849,43,30.000000,1,15,4318.000000,2763.000000,0.888776,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,13,200,63,1605,2686,GRASP-PR heuristic,36,36.000000,1,0,0.009671,36,30.000000,1,16,4451.000000,2846.000000,0.839375,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,14,200,58,1529,2675,GRASP-PR heuristic,41,40.000000,0,517818,15.066281,41,30.000000,1,15,4354.000000,2825.000000,0.891667,-1.000000,10.000000,1.000000,negative,robust,negative
100,0.500000,0.400000,4.000000,15,200,60,1657,2436,GRASP-PR heuristic,43,43.000000,1,29180,0.929707,44,30.000000,1,13,4223.000000,2566.000000,0.936923,-1.000000,10.000000,1.000000,negative,robust,negative
