n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,5.000000,3,250,40,621,955,Strengthened CPLEX MILP heuristic-start,9,9.000000,1,0,0.043670,9,180.000000,1,5,1888.500000,1267.500000,0.764000,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,4,245,39,652,1008,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,3032,7.824670,14,180.000000,1,8,3102.000000,2450.000000,0.514286,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,4,245,39,652,1008,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,743,1.774509,13,180.000000,1,10,2272.500000,1620.500000,0.411429,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,5,240,39,619,1150,Full-recharge strengthened CPLEX MILP heuristic-start,12,12.000000,1,1113,0.998576,18,180.000000,1,8,3019.000000,2400.000000,0.598958,0.200000,60.000000,1.000000,full
40,0.500000,0.400000,5.000000,5,240,39,619,1150,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.040816,12,180.000000,1,6,2129.000000,1510.000000,0.798611,0.200000,60.000000,1.000000,partial
40,0.500000,0.400000,5.000000,6,240,40,580,1047,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,1154,1.185307,15,180.000000,1,7,2680.000000,2100.000000,0.623214,0.200000,60.000000,1.000000,full
40,0.500000,0.400000,5.000000,6,240,40,580,1047,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.053037,14,180.000000,1,6,1987.000000,1407.000000,0.727083,0.200000,60.000000,1.000000,partial
40,0.500000,0.400000,5.000000,7,245,39,627,1029,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,940,1.936163,15,180.000000,1,8,3077.000000,2450.000000,0.525000,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,7,245,39,627,1029,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.044279,14,180.000000,1,6,2023.500000,1396.500000,0.700000,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,8,245,39,624,1156,Full-recharge strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.061924,11,180.000000,1,5,2155.250000,1531.250000,0.943673,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,8,245,39,624,1156,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.052170,11,180.000000,1,5,2086.250000,1462.250000,0.943673,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,9,250,40,669,1026,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,2317,4.076565,13,180.000000,1,5,2231.500000,1562.500000,0.820800,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,9,250,40,669,1026,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.048221,12,180.000000,1,6,2070.000000,1401.000000,0.684000,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,10,250,40,644,1035,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,1905,2.523731,13,180.000000,1,5,2206.500000,1562.500000,0.828000,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,10,250,40,644,1035,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,0,0.041165,11,180.000000,1,5,1991.500000,1347.500000,0.828000,0.200000,62.500000,1.000000,partial
40,0.500000,0.400000,5.000000,11,245,40,659,1158,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,2649,4.080854,16,180.000000,1,8,3109.000000,2450.000000,0.590816,0.200000,61.250000,1.000000,full
40,0.500000,0.400000,5.000000,11,245,40,659,1158,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,3767,3.603552,12,180.000000,1,6,2184.500000,1525.500000,0.787755,0.200000,61.250000,1.000000,partial
40,0.500000,0.400000,5.000000,12,250,40,647,1146,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,10689,14.457085,16,180.000000,1,5,2209.500000,1562.500000,0.916800,0.200000,62.500000,1.000000,full
40,0.500000,0.400000,5.000000,12,250,40,647,1146,Strengthened CPLEX MILP heuristic-start,11,11.000000,1,295,0.489741,12,180.000000,1,11,2480.500000,1833.500000,0.416727,0.200000,62.500000,1.000000,partial
